"Elevacion","DAP","Competencia","Densidad","Cluster"
920,20.7,-6.915115884,440,"2"
925,24,-7.282012814,360,"2"
803,40,-5.734942832,420,"2"
803,102,-2.43875476,420,"1"
803,24.6,-6.506550189,420,"2"
803,30,-4.262778283,420,"1"
803,36.6,-5.734942832,420,"1"
803,75,-6.338660336,420,"1"
803,23,-9.584871166,420,"2"
803,21.5,-6.389171648,420,"2"
803,26.1,-5.867768584,420,"2"
803,100,-2.43875476,420,"2"
725,43.7,-5.686268566,280,"3"
725,43.2,-5.686268566,280,"1"
725,36,-5.84127946,280,"1"
728,46.3,-5.115731778,200,"2"
728,54.9,-4.219785682,200,"2"
711,45.2,-8.753005706,420,"3"
711,66.8,-7.286394802,420,"3"
711,24.6,-6.506550189,420,"3"
711,50.5,-2.006042783,420,"3"
639,26.6,-0.046759465,1200,"1"
639,29,-3.371973497,1200,"1"
639,22.2,-9.62960666,1200,"2"
639,31.9,-6.416665296,1200,"2"
639,27.4,-6.213931253,1200,"1"
639,32.4,-0.72163797,1200,"2"
639,41.4,-3.730019147,1200,"2"
639,34.9,-5.948643389,1200,"2"
639,31.5,-6.498579968,1200,"2"
639,57.6,-3.942363415,1200,"3"
639,24.5,-0.111143265,1200,"1"
639,46.8,-4.942999945,1200,"2"
639,55.3,-4.219785682,1200,"2"
639,53.9,-8.051151916,1200,"1"
639,61.8,-4.574783295,1200,"1"
639,35.8,-3.00931511,1200,"2"
613,43.6,-2.23,1000,"2"
613,48.2,-2.217786128,1000,"2"
613,35,-5.948643389,1000,"2"
613,46.6,-4.942999945,1000,"2"
613,34.1,-6.224136717,1000,"1"
613,32,-6.169340273,1000,"2"
613,74.2,-3.621059383,1000,"1"
613,27.9,-6.150176557,1000,"1"
