"IdTarugo","IDPlot","DAP_cm","Competencia_Total","Elevation","Densidad"
"Eloy18","Eloy-01",50.7,-6.32582300267411,702,1160
"Eloy15","Eloy-01",57.4,-6.01016912461018,702,1160
"Eloy13","Eloy-01",60.5,-5.69398824437862,702,1160
"Eloy16","Eloy-01",69,-5.23360747594912,702,1160
"Eloy05","Eloy-01",87.7,-3.45208096793305,702,1160
"Eloy20","Eloy-01",69.5,-5.23360747594912,702,1160
"Eloy26","Eloy-02",22.8,-6.40683603783039,716,1060
"Eloy23","Eloy-02",27.5,-6.32887270374258,716,1060
"Eloy34","Eloy-02",28.3,-6.26246493283283,716,1060
"Eloy38","Eloy-02",29.4,-6.12624626077134,716,1060
"Eloy35","Eloy-02",35,-6.00171038639039,716,1060
"Eloy37","Eloy-02",36.2,-5.89207822755807,716,1060
"Eloy27","Eloy-02",38.5,-5.65113220819467,716,1060
"Eloy30","Eloy-02",38.7,-5.53229125589651,716,1060
"Eloy36","Eloy-02",42.2,-5.23361375913443,716,1060
"Eloy31","Eloy-02",42.3,-5.09241958970781,716,1060
"Eloy32","Eloy-02",45.1,-4.91344855401995,716,1060
"Eloy29","Eloy-02",45.2,-4.75227935310365,716,1060
"Eloy28","Eloy-02",47.4,-4.55981910395943,716,1060
"Eloy33","Eloy-02",51,-4.12343303481988,716,1060
"Eloy43","Eloy-02",51,-4.12343303481988,716,1060
"Eloy24","Eloy-02",53,-3.88647840892287,716,1060
"Eloy21","Eloy-02",64.6,-3.45157831310848,716,1060
"Eloy40","Eloy-02",31.8,-12.8158814006944,716,1060
"Eloy41","Eloy-02",42,-5.23361375913443,716,1060
"Eloy52","Eloy-03",22.5,-6.45830317947783,710,1520
"Eloy51","Eloy-03",24,-6.36421247950281,710,1520
"Eloy55","Eloy-03",26,-6.30326558202317,710,1520
"Eloy56","Eloy-03",26.2,-6.24853275481233,710,1520
"Eloy61","Eloy-03",27.7,-6.18191999498194,710,1520
"Eloy54","Eloy-03",29.5,-6.10548426032193,710,1520
"Eloy60","Eloy-03",32.4,-5.93491462878793,710,1520
"Eloy48","Eloy-03",32.5,-5.85144722437103,710,1520
"Eloy59","Eloy-03",32.7,-5.76644122495203,710,1520
"Eloy44","Eloy-03",35.9,-5.55825023599313,710,1520
"Eloy46","Eloy-03",38.1,-5.43145477109608,710,1520
"Eloy63","Eloy-03",40,-5.29413654160583,710,1520
"Eloy45","Eloy-03",40.1,-5.16721462760448,710,1520
"Eloy47","Eloy-03",57.3,-4.36718685261743,710,1520
"Eloy53","Eloy-03",65.9,-3.60490374256693,710,1520
"Eloy57","Eloy-03",77.5,-3.00252769858415,710,1520
"Eloy65","Eloy-03",41.8,-5.37677535096035,710,1520
"Eloy66","Eloy-03",60.2,-5.69398824437862,710,1520
"Eloy68","Eloy-03",44.1,-4.91344855401995,710,1520
"Eloy69","Eloy-03",53.3,-3.88647840892287,710,1520
"Eloy70","Eloy-03",79.3,-4.15000305468762,710,1520
"Eloy72","Eloy-03",44.5,-4.91344855401995,710,1520
"Eloy73","Eloy-03",65.6,-3.94908563811994,710,1520
"Eloy74","Eloy-03",31,-12.8962669027181,710,1520
"Eloy75","Eloy-03",75.5,-4.869232208217,710,1520
"Eloy76","Eloy-03",50.1,-11.7479802303119,710,1520
"Eloy77","Eloy-03",47.1,-6.3517717725946,710,1520
"Eloy78","Eloy-03",49.6,-7.24504358833652,710,1520
"Eloy81","Eloy-03",61.5,-10.2494688088834,710,1520
"Eloy88","Eloy-04",20,-7.99366705352921,686,700
"Eloy85","Eloy-04",27,-7.91057192784176,686,700
"Eloy86","Eloy-04",29.3,-7.83297616009442,686,700
"Eloy84","Eloy-04",34,-7.64575608749639,686,700
"Eloy96","Eloy-04",37.9,-7.51091736000799,686,700
"Eloy93","Eloy-04",49.1,-7.24504358833652,686,700
"Eloy91","Eloy-04",63.3,-6.80498735357942,686,700
"Eloy92","Eloy-04",63.9,-6.47829863131976,686,700
"Eloy90","Eloy-04",65.8,-6.11889493396195,686,700
"Eloy82","Eloy-04",70.5,-5.67821902005392,686,700
"Eloy89","Eloy-04",71.2,-5.27227576912583,686,700
"Eloy95","Eloy-04",76,-4.76313669731445,686,700
"Eloy83","Eloy-04",84.8,-4.0872167547093,686,700
"Eloy94","Eloy-04",85.6,-3.50102069829067,686,700
"ELOV09","Eloy-05",31.4,-7.24638347760328,710,760
"ELOV03","Eloy-05",35.8,-7.12250105449427,710,760
"ELOV06","Eloy-05",38.3,-6.99274228232672,710,760
"ELOV08","Eloy-05",38.5,-6.87512026797816,710,760
"ELOV01","Eloy-05",39.8,-6.74271548939813,710,760
"ELOV05","Eloy-05",46.3,-6.53039566229424,710,760
"ELOV02","Eloy-05",47,-6.3517717725946,710,760
"ELOV07","Eloy-05",63,-5.9018171647842,710,760
"ELOV04","Eloy-05",75.8,-4.869232208217,710,760
"ELOV10","Eloy-05",86,-4.15873275527378,710,760
"ELOV00","Eloy-05",111,-2.80423508267854,710,760
"ELOM62","Eloy-06",88,-7.29291596259008,656,1420
"Larg-10","ValleLargo-01",15,-7.97419153527144,1000,1280
"Larg-14","ValleLargo-01",15.2,-7.95557131561362,1000,1280
"Larg-11","ValleLargo-01",15.8,-7.91489711552759,1000,1280
"Larg-33","ValleLargo-01",15.8,-7.91489711552759,1000,1280
"Larg-03","ValleLargo-01",16,-7.89429140931269,1000,1280
"Larg-09","ValleLargo-01",16.4,-7.87214946429019,1000,1280
"Larg-07","ValleLargo-01",16.5,-7.85050860329594,1000,1280
"Larg-15","ValleLargo-01",18.1,-7.79469978060124,1000,1280
"Larg-36","ValleLargo-01",18.1,-7.79469978060124,1000,1280
"Larg-22","ValleLargo-01",18.3,-7.76782581164427,1000,1280
"Larg-04","ValleLargo-01",19.1,-7.73682378994049,1000,1280
"Larg-08","ValleLargo-01",19.6,-7.70513218864923,1000,1280
"Larg-28","ValleLargo-01",21.2,-7.66470617438284,1000,1280
"Larg-06","ValleLargo-01",21.8,-7.58802932248668,1000,1280
"Larg-34","ValleLargo-01",21.9,-7.55001762217457,1000,1280
"Larg-02","ValleLargo-01",22.1,-7.51096684009228,1000,1280
"Larg-16","ValleLargo-01",22.5,-7.46980490774678,1000,1280
"Larg-13","ValleLargo-01",23.7,-7.37978806804531,1000,1280
"Larg-35","ValleLargo-01",24.5,-7.32961604796932,1000,1280
"Larg-12","ValleLargo-01",25.2,-7.27700772279047,1000,1280
"Larg-05","ValleLargo-01",28.7,-7.19749872511709,1000,1280
"Larg-23","ValleLargo-01",31,-7.11123765943299,1000,1280
"Larg-29","ValleLargo-01",35,-6.81270781752562,1000,1280
"Larg-32","ValleLargo-01",35.2,-6.71429114446661,1000,1280
"Larg-17","ValleLargo-01",35.7,-6.61140869745052,1000,1280
