DAP_cm;Competencia_Total;Elevation;Densidad
40;-6,2218732;1000;1280
40,7;-5,959780335;1000;1280
43,8;-5,788532904;1000;1280
45,8;-5,609710309;1000;1280
54;-5,316414361;1000;1280
55,5;-5,061591926;1000;1280
65,5;-4,629603302;1000;1280
70,5;-4,185833704;1000;1280
75;-3,692623293;1000;1280
20;-6,948430903;990;1100
20,3;-6,915115884;990;1100
21,8;-6,872830832;990;1100
22,2;-6,832740968;990;1100
22,4;-6,792632255;990;1100
22,5;-6,712758047;990;1100
22,5;-6,712758047;990;1100
22,8;-6,670862553;990;1100
23;-6,628595565;990;1100
23,8;-6,536678848;990;1100
23,8;-6,536678848;990;1100
26;-6,474981109;990;1100
27,8;-6,406676602;990;1100
28;-6,344224882;990;1100
28,7;-6,276415175;990;1100
28,9;-6,209913156;990;1100
29,5;-6,138811846;990;1100
32,8;-6,038168569;990;1100
34;-5,94108079;990;1100
35;-5,839450267;990;1100
35,9;-5,634235938;990;1100
36,3;-5,528476577;990;1100
37;-5,41692569;990;1100
40,9;-5,261682319;990;1100
45,8;-5,063567988;990;1100
58,2;-4,518297459;990;1100
63;-4,160881605;990;1100
67,6;-3,754789913;990;1100
72,6;-3,28576898;990;1100
45,3;-7,387232072;990;1100
